gene_symbol,logfc_dz:284,logfc_dz:257,mean_logfc,median_logfc,common_experiment,organism,signature_type
SERPINE1,,0.2581188082695007,0.2581188082695007,0.2581188082695007,0.2581188082695007,human,UP
ACTB,,0.2016447484493255,0.2016447484493255,0.2016447484493255,0.2016447484493255,human,UP
ANGPTL7,0.1835072636604309,,0.1835072636604309,0.1835072636604309,,human,UP
TUBA1B,,0.1681605279445648,0.1681605279445648,0.1681605279445648,0.1681605279445648,human,UP
TAGLN,,0.160924032330513,0.160924032330513,0.160924032330513,0.160924032330513,human,UP
APOD,0.1447627693414688,,0.1447627693414688,0.1447627693414688,,human,UP
PLA2G2A,0.1352241039276123,,0.1352241039276123,0.1352241039276123,,human,UP
KRT18,,0.133590430021286,0.133590430021286,0.133590430021286,0.133590430021286,human,UP
IGFBP3,,0.1314653754234314,0.1314653754234314,0.1314653754234314,0.1314653754234314,human,UP
MT1H,,0.1272544115781784,0.1272544115781784,0.1272544115781784,0.1272544115781784,human,UP
MYOC,0.1233897283673286,,0.1233897283673286,0.1233897283673286,,human,UP
CALM2,,0.1190017089247703,0.1190017089247703,0.1190017089247703,0.1190017089247703,human,UP
SERPINE2,,0.1124449372291565,0.1124449372291565,0.1124449372291565,0.1124449372291565,human,UP
NELL2,0.1112682074308395,,0.1112682074308395,0.1112682074308395,,human,UP
MT1HL1,,0.1065725088119506,0.1065725088119506,0.1065725088119506,0.1065725088119506,human,UP
GEM,0.1047447994351387,,0.1047447994351387,0.1047447994351387,,human,UP
MT2A,-0.0729468613862991,0.2816007733345032,0.104326955974102,0.104326955974102,0.2816007733345032,human,UP
NNMT,,0.1025294065475463,0.1025294065475463,0.1025294065475463,0.1025294065475463,human,UP
MMP3,0.0993068218231201,,0.0993068218231201,0.0993068218231201,,human,UP
CFL1,,0.0931643098592758,0.0931643098592758,0.0931643098592758,0.0931643098592758,human,UP
COL4A1,,0.0896540880203247,0.0896540880203247,0.0896540880203247,0.0896540880203247,human,UP
DDIT4,0.0895169302821159,,0.0895169302821159,0.0895169302821159,,human,UP
TUBB,,0.0866552218794822,0.0866552218794822,0.0866552218794822,0.0866552218794822,human,UP
HLA-DRB1,0.0865424424409866,,0.0865424424409866,0.0865424424409866,,human,UP
DDAH1,,0.0821942016482353,0.0821942016482353,0.0821942016482353,0.0821942016482353,human,UP
MT1X,,0.0793258696794509,0.0793258696794509,0.0793258696794509,0.0793258696794509,human,UP
C2orf40,0.0744815990328788,,0.0744815990328788,0.0744815990328788,,human,UP
TUBB2A,,0.0716181695461273,0.0716181695461273,0.0716181695461273,0.0716181695461273,human,UP
MRC1,0.0711671337485313,,0.0711671337485313,0.0711671337485313,,human,UP
TPM1,,0.0663122981786727,0.0663122981786727,0.0663122981786727,0.0663122981786727,human,UP
HLA-DRB5,0.0657657459378242,,0.0657657459378242,0.0657657459378242,,human,UP
ANXA2,,0.0656206160783767,0.0656206160783767,0.0656206160783767,0.0656206160783767,human,UP
CD302,0.0625589415431022,,0.0625589415431022,0.0625589415431022,,human,UP
SERPINF1,0.0622176826000213,,0.0622176826000213,0.0622176826000213,,human,UP
HSPA5,,0.0611802116036415,0.0611802116036415,0.0611802116036415,0.0611802116036415,human,UP
SAA2,0.0605207458138465,,0.0605207458138465,0.0605207458138465,,human,UP
TUBA1C,-0.0349205955862998,0.1526385992765426,0.0588590018451213,0.0588590018451213,0.1526385992765426,human,UP
ACTN1,,0.0585716180503368,0.0585716180503368,0.0585716180503368,0.0585716180503368,human,UP
CHST15,0.0582688935101032,,0.0582688935101032,0.0582688935101032,,human,UP
TMEM178A,0.0579187199473381,,0.0579187199473381,0.0579187199473381,,human,UP
MT1E,,0.0572229139506816,0.0572229139506816,0.0572229139506816,0.0572229139506816,human,UP
IER3,0.0396913476288318,0.07310601323843,0.0563986804336309,0.0563986804336309,0.07310601323843,human,UP
PENK,0.0558592192828655,,0.0558592192828655,0.0558592192828655,,human,UP
P2RY14,0.0553212873637676,,0.0553212873637676,0.0553212873637676,,human,UP
OVOS2,0.0536465011537075,,0.0536465011537075,0.0536465011537075,,human,UP
TCEAL4,0.0529329068958759,,0.0529329068958759,0.0529329068958759,,human,UP
ARF4,,0.0513972304761409,0.0513972304761409,0.0513972304761409,0.0513972304761409,human,UP
ACLY,,0.050436932593584,0.050436932593584,0.050436932593584,0.050436932593584,human,UP
HLA-DRB4,0.0502490364015102,,0.0502490364015102,0.0502490364015102,,human,UP
TXNIP,0.0498445220291614,,0.0498445220291614,0.0498445220291614,,human,UP
CEBPB,0.049534011632204,,0.049534011632204,0.049534011632204,,human,UP
SPP1,0.049287836998701,,0.049287836998701,0.049287836998701,,human,UP
TXNDC5,,0.0491388440132141,0.0491388440132141,0.0491388440132141,0.0491388440132141,human,UP
PDGFC,,0.0483987219631671,0.0483987219631671,0.0483987219631671,0.0483987219631671,human,UP
LOC728026,0.0474817901849746,,0.0474817901849746,0.0474817901849746,,human,UP
TAC1,0.0474595911800861,,0.0474595911800861,0.0474595911800861,,human,UP
FGF13,0.046605460345745,,0.046605460345745,0.046605460345745,,human,UP
TIMP3,,0.0463721677660942,0.0463721677660942,0.0463721677660942,0.0463721677660942,human,UP
NOG,0.0463153533637523,,0.0463153533637523,0.0463153533637523,,human,UP
VCAN,,0.0460118204355239,0.0460118204355239,0.0460118204355239,0.0460118204355239,human,UP
RGS2,0.0452945865690708,,0.0452945865690708,0.0452945865690708,,human,UP
CP,0.0448085516691207,,0.0448085516691207,0.0448085516691207,,human,UP
BLCAP,0.0446998365223407,,0.0446998365223407,0.0446998365223407,,human,UP
MSN,,0.0442771539092063,0.0442771539092063,0.0442771539092063,0.0442771539092063,human,UP
CCL15-CCL14,0.0439994893968105,,0.0439994893968105,0.0439994893968105,,human,UP
IDI1,,0.0428559370338916,0.0428559370338916,0.0428559370338916,0.0428559370338916,human,UP
TUBB4B,,0.0421937704086303,0.0421937704086303,0.0421937704086303,0.0421937704086303,human,UP
CYR61,0.0266323648393154,0.0573688745498657,0.0420006196945905,0.0420006196945905,0.0573688745498657,human,UP
ABLIM1,0.0418489314615726,,0.0418489314615726,0.0418489314615726,,human,UP
PXDC1,,0.0416478067636489,0.0416478067636489,0.0416478067636489,0.0416478067636489,human,UP
LOC100505584,,0.0413597896695137,0.0413597896695137,0.0413597896695137,0.0413597896695137,human,UP
CDH2,,0.0410544350743293,0.0410544350743293,0.0410544350743293,0.0410544350743293,human,UP
TUBB3,,0.0406427681446075,0.0406427681446075,0.0406427681446075,0.0406427681446075,human,UP
FCER1G,0.0405970253050327,,0.0405970253050327,0.0405970253050327,,human,UP
SLC7A5,,0.0400361530482769,0.0400361530482769,0.0400361530482769,0.0400361530482769,human,UP
HLA-DRA,0.039933655411005,,0.039933655411005,0.039933655411005,,human,UP
IER2,0.0398806668817997,,0.0398806668817997,0.0398806668817997,,human,UP
KLF10,0.0394795648753643,,0.0394795648753643,0.0394795648753643,,human,UP
CTPS1,,0.0393471084535121,0.0393471084535121,0.0393471084535121,0.0393471084535121,human,UP
SPRY2,0.0386607311666011,,0.0386607311666011,0.0386607311666011,,human,UP
ARRDC3,0.0386600233614444,,0.0386600233614444,0.0386600233614444,,human,UP
ACTG1,-0.0666768625378608,0.143878236413002,0.0386006869375705,0.0386006869375705,0.143878236413002,human,UP
HNRNPA1P33,0.0385900326073169,,0.0385900326073169,0.0385900326073169,,human,UP
LTBP2,-0.0168765317648649,0.0940074473619461,0.0385654577985405,0.0385654577985405,0.0940074473619461,human,UP
DSP,,0.0383736826479435,0.0383736826479435,0.0383736826479435,0.0383736826479435,human,UP
ACTR3,,0.0383298024535179,0.0383298024535179,0.0383298024535179,0.0383298024535179,human,UP
HSPB1,-0.0216212067753076,0.097787968814373,0.0380833810195326,0.0380833810195326,0.097787968814373,human,UP
MTHFD2,,0.0380557738244533,0.0380557738244533,0.0380557738244533,0.0380557738244533,human,UP
CNRIP1,0.0379217825829982,,0.0379217825829982,0.0379217825829982,,human,UP
SERPING1,0.0378077961504459,,0.0378077961504459,0.0378077961504459,,human,UP
GREM1,,0.037685252726078,0.037685252726078,0.037685252726078,0.037685252726078,human,UP
EMX2,0.037457812577486,,0.037457812577486,0.037457812577486,,human,UP
PIM3,0.0374163910746574,,0.0374163910746574,0.0374163910746574,,human,UP
CYCS,,0.0373813547194004,0.0373813547194004,0.0373813547194004,0.0373813547194004,human,UP
EPB41L4A-AS1,0.0373449549078941,,0.0373449549078941,0.0373449549078941,,human,UP
TUBB6,-0.024468820542097,0.0991339534521102,0.0373325664550066,0.0373325664550066,0.0991339534521102,human,UP
ACAT2,,0.0369911901652812,0.0369911901652812,0.0369911901652812,0.0369911901652812,human,UP
P4HA2,,0.0368422381579875,0.0368422381579875,0.0368422381579875,0.0368422381579875,human,UP
LINC00294,0.0365300849080085,,0.0365300849080085,0.0365300849080085,,human,UP
MSMO1,,0.0364240482449531,0.0364240482449531,0.0364240482449531,0.0364240482449531,human,UP
COL4A2,,0.0360144078731536,0.0360144078731536,0.0360144078731536,0.0360144078731536,human,UP
C12orf57,0.0359306894242763,,0.0359306894242763,0.0359306894242763,,human,UP
SRPRB,,0.0351539179682731,0.0351539179682731,0.0351539179682731,0.0351539179682731,human,UP
RPS4Y1,0.0348800420761108,,0.0348800420761108,0.0348800420761108,,human,UP
PFN1,,0.0346504636108875,0.0346504636108875,0.0346504636108875,0.0346504636108875,human,UP
PRPS1,,0.0344030521810054,0.0344030521810054,0.0344030521810054,0.0344030521810054,human,UP
TRMT112,0.0343325659632682,,0.0343325659632682,0.0343325659632682,,human,UP
RGL1,0.0333331823348999,,0.0333331823348999,0.0333331823348999,,human,UP
PROS1,0.0332966335117816,,0.0332966335117816,0.0332966335117816,,human,UP
SLC20A1,,0.0329091809689998,0.0329091809689998,0.0329091809689998,0.0329091809689998,human,UP
H3F3B,0.0328887738287448,,0.0328887738287448,0.0328887738287448,,human,UP
CECR1,0.0321968793869018,,0.0321968793869018,0.0321968793869018,,human,UP
ALDH1A1,0.0319538228213787,,0.0319538228213787,0.0319538228213787,,human,UP
TYROBP,0.0318994335830211,,0.0318994335830211,0.0318994335830211,,human,UP
EPDR1,0.0316554382443428,,0.0316554382443428,0.0316554382443428,,human,UP
RSPO4,0.0315431095659732,,0.0315431095659732,0.0315431095659732,,human,UP
DACT1,0.0305471140891313,,0.0305471140891313,0.0305471140891313,,human,UP
SEMA3E,0.0304636042565107,,0.0304636042565107,0.0304636042565107,,human,UP
DUSP5,0.0300482641905546,,0.0300482641905546,0.0300482641905546,,human,UP
FOXO3,0.0299043413251638,,0.0299043413251638,0.0299043413251638,,human,UP
SGK1,0.0305230431258678,0.0287140905857086,0.0296185668557882,0.0296185668557882,0.0287140905857086,human,UP
GADD45A,0.0294286962598562,,0.0294286962598562,0.0294286962598562,,human,UP
RNF182,0.029301481321454,,0.029301481321454,0.029301481321454,,human,UP
OXTR,,0.0290196314454078,0.0290196314454078,0.0290196314454078,0.0290196314454078,human,UP
CRYAB,0.0289636440575122,,0.0289636440575122,0.0289636440575122,,human,UP
FDFT1,,0.0284857880324125,0.0284857880324125,0.0284857880324125,0.0284857880324125,human,UP
TYRP1,0.0282456260174512,,0.0282456260174512,0.0282456260174512,,human,UP
SBDSP1,0.0282423961907625,,0.0282423961907625,0.0282423961907625,,human,UP
SLC26A4,0.0281706545501947,,0.0281706545501947,0.0281706545501947,,human,UP
MEIS3P1,0.0281694643199443,,0.0281694643199443,0.0281694643199443,,human,UP
SERPINI1,0.0279821176081895,,0.0279821176081895,0.0279821176081895,,human,UP
MORF4L2,,0.0277923140674829,0.0277923140674829,0.0277923140674829,0.0277923140674829,human,UP
LOX,,0.0277632344514131,0.0277632344514131,0.0277632344514131,0.0277632344514131,human,UP
EFHD1,,0.0277568623423576,0.0277568623423576,0.0277568623423576,0.0277568623423576,human,UP
LIF,,0.0276142787188291,0.0276142787188291,0.0276142787188291,0.0276142787188291,human,UP
CSRP1,,0.0274131037294864,0.0274131037294864,0.0274131037294864,0.0274131037294864,human,UP
FCGBP,0.0268761273473501,,0.0268761273473501,0.0268761273473501,,human,UP
CTGF,-0.0144137237221002,0.0678910315036773,0.0267386538907885,0.0267386538907885,0.0678910315036773,human,UP
FBLN5,,0.0267039351165294,0.0267039351165294,0.0267039351165294,0.0267039351165294,human,UP
HSP90AB1,0.0266691111028194,,0.0266691111028194,0.0266691111028194,,human,UP
GPM6B,0.026621226221323,,0.026621226221323,0.026621226221323,,human,UP
PALLD,,0.0264261662960052,0.0264261662960052,0.0264261662960052,0.0264261662960052,human,UP
PAN3,0.026418263092637,,0.026418263092637,0.026418263092637,,human,UP
CXCL16,0.0263746585696935,,0.0263746585696935,0.0263746585696935,,human,UP
KIAA0355,0.0262436605989933,,0.0262436605989933,0.0262436605989933,,human,UP
DHCR24,0.0328964814543724,0.0195570141077041,0.0262267477810382,0.0262267477810382,0.0195570141077041,human,UP
NEK7,,0.0260876510292291,0.0260876510292291,0.0260876510292291,0.0260876510292291,human,UP
TRIT1,0.0260599628090858,,0.0260599628090858,0.0260599628090858,,human,UP
LDHA,-0.0311960689723491,0.0833074524998664,0.0260556917637586,0.0260556917637586,0.0833074524998664,human,UP
LOXL1,,0.0258138142526149,0.0258138142526149,0.0258138142526149,0.0258138142526149,human,UP
PFKP,,0.0256551764905452,0.0256551764905452,0.0256551764905452,0.0256551764905452,human,UP
CREB3L2,,0.025573780760169,0.025573780760169,0.025573780760169,0.025573780760169,human,UP
PTGDS,0.0255127139389514,,0.0255127139389514,0.0255127139389514,,human,UP
SLC39A14,,0.0254556909203529,0.0254556909203529,0.0254556909203529,0.0254556909203529,human,UP
SPARCL1,0.0253501646220684,,0.0253501646220684,0.0253501646220684,,human,UP
FST,,0.0253331568092107,0.0253331568092107,0.0253331568092107,0.0253331568092107,human,UP
CAP1,-0.0280532371252775,0.0783252269029617,0.0251359948888421,0.0251359948888421,0.0783252269029617,human,UP
LY75,0.025086173787713,,0.025086173787713,0.025086173787713,,human,UP
ID3,0.0250821951776742,,0.0250821951776742,0.0250821951776742,,human,UP
SLC2A3,0.0248992070555686,,0.0248992070555686,0.0248992070555686,,human,UP
TUBA1A,-0.0506200566887855,0.1001993045210838,0.0247896239161491,0.0247896239161491,0.1001993045210838,human,UP
PPME1,,0.024639232084155,0.024639232084155,0.024639232084155,0.024639232084155,human,UP
C5AR1,0.0245950426906347,,0.0245950426906347,0.0245950426906347,,human,UP
ASNS,,0.0244653262197971,0.0244653262197971,0.0244653262197971,0.0244653262197971,human,UP
RHOA,,0.0243291649967432,0.0243291649967432,0.0243291649967432,0.0243291649967432,human,UP
S100A8,0.024224804714322,,0.024224804714322,0.024224804714322,,human,UP
PNRC1,0.0242210030555725,,0.0242210030555725,0.0242210030555725,,human,UP
PPIL3,0.024210849776864,,0.024210849776864,0.024210849776864,,human,UP
TMEM2,0.024089066311717,,0.024089066311717,0.024089066311717,,human,UP
NME1,,0.0240659192204475,0.0240659192204475,0.0240659192204475,0.0240659192204475,human,UP
CDKN1B,0.0237837843596935,,0.0237837843596935,0.0237837843596935,,human,UP
FABP5,0.0237536337226629,,0.0237536337226629,0.0237536337226629,,human,UP
IVNS1ABP,,0.0236613750457763,0.0236613750457763,0.0236613750457763,0.0236613750457763,human,UP
ZNF322,0.0235966499894857,,0.0235966499894857,0.0235966499894857,,human,UP
F13A1,0.0235475059598684,,0.0235475059598684,0.0235475059598684,,human,UP
GPRASP2,0.0235174540430307,,0.0235174540430307,0.0235174540430307,,human,UP
HSD11B1,0.0234883613884449,,0.0234883613884449,0.0234883613884449,,human,UP
RPL8,0.0234770700335502,,0.0234770700335502,0.0234770700335502,,human,UP
SETBP1,0.0232495628297328,,0.0232495628297328,0.0232495628297328,,human,UP
TMEM45A,,0.0232435315847396,0.0232435315847396,0.0232435315847396,0.0232435315847396,human,UP
PSAT1,,0.0231407471001148,0.0231407471001148,0.0231407471001148,0.0231407471001148,human,UP
VDAC2,,0.0230432674288749,0.0230432674288749,0.0230432674288749,0.0230432674288749,human,UP
HEY1,0.023025594651699,,0.023025594651699,0.023025594651699,,human,UP
SCD,,0.0229599028825759,0.0229599028825759,0.0229599028825759,0.0229599028825759,human,UP
GPX3,0.0229090750217437,,0.0229090750217437,0.0229090750217437,,human,UP
RHOB,,0.0229001305997371,0.0229001305997371,0.0229001305997371,0.0229001305997371,human,UP
CD163,0.022798454388976,,0.022798454388976,0.022798454388976,,human,UP
LRRC59,,0.0227738656103611,0.0227738656103611,0.0227738656103611,0.0227738656103611,human,UP
LOC728392,,0.0227349903434515,0.0227349903434515,0.0227349903434515,0.0227349903434515,human,UP
CNN1,,0.0226107463240623,0.0226107463240623,0.0226107463240623,0.0226107463240623,human,UP
CADPS2,0.0224755834788084,,0.0224755834788084,0.0224755834788084,,human,UP
ARPC5,,0.0224146414548158,0.0224146414548158,0.0224146414548158,0.0224146414548158,human,UP
SNHG19,0.0223398096859455,,0.0223398096859455,0.0223398096859455,,human,UP
EEF1D,0.022295344620943,,0.022295344620943,0.022295344620943,,human,UP
HLA-DPB1,0.02228320017457,,0.02228320017457,0.02228320017457,,human,UP
CNN3,,0.0222434159368276,0.0222434159368276,0.0222434159368276,0.0222434159368276,human,UP
PCP4,0.0222361758351326,,0.0222361758351326,0.0222361758351326,,human,UP
SERPINH1,,0.0221465695649385,0.0221465695649385,0.0221465695649385,0.0221465695649385,human,UP
COCH,0.0221086777746677,,0.0221086777746677,0.0221086777746677,,human,UP
VSIG4,0.022024156525731,,0.022024156525731,0.022024156525731,,human,UP
IL11,,0.0219294931739568,0.0219294931739568,0.0219294931739568,0.0219294931739568,human,UP
IMPA1,0.0219120495021343,,0.0219120495021343,0.0219120495021343,,human,UP
YWHAZ,,0.0219112932682037,0.0219112932682037,0.0219112932682037,0.0219112932682037,human,UP
SLC19A2,0.0216003283858299,,0.0216003283858299,0.0216003283858299,,human,UP
SEC61B,,0.0215848628431558,0.0215848628431558,0.0215848628431558,0.0215848628431558,human,UP
RRN3,0.0214086752384901,,0.0214086752384901,0.0214086752384901,,human,UP
CHI3L2,0.0212928652763366,,0.0212928652763366,0.0212928652763366,,human,UP
MT1F,0.0231039486825466,0.019052967429161,0.0210784580558538,0.0210784580558538,0.019052967429161,human,UP
CLIC4,,0.0210204292088747,0.0210204292088747,0.0210204292088747,0.0210204292088747,human,UP
GABARAPL3,,0.0208526346832513,0.0208526346832513,0.0208526346832513,0.0208526346832513,human,UP
RSL24D1,0.0206608604639768,,0.0206608604639768,0.0206608604639768,,human,UP
FAM19A2,0.0206600092351436,,0.0206600092351436,0.0206600092351436,,human,UP
IP6K3,0.0206543989479541,,0.0206543989479541,0.0206543989479541,,human,UP
NRN1,0.0205119997262954,,0.0205119997262954,0.0205119997262954,,human,UP
CEBPD,0.0204183142632246,,0.0204183142632246,0.0204183142632246,,human,UP
FAU,0.0202169883996248,,0.0202169883996248,0.0202169883996248,,human,UP
LXN,-0.1111050769686698,,-0.1111050769686698,-0.1111050769686698,,human,DOWN
PABPC1,,-0.1084542721509933,-0.1084542721509933,-0.1084542721509933,-0.1084542721509933,human,DOWN
EEF1A1P9,-0.0959815755486488,,-0.0959815755486488,-0.0959815755486488,,human,DOWN
RPL41,-0.1223496720194816,-0.06209047883749,-0.0922200754284858,-0.0922200754284858,-0.06209047883749,human,DOWN
FTL,-0.0541472360491752,-0.1159861907362937,-0.0850667133927345,-0.0850667133927345,-0.1159861907362937,human,DOWN
FTH1P5,-0.1131200268864631,-0.0530981235206127,-0.0831090752035379,-0.0831090752035379,-0.0530981235206127,human,DOWN
PPP1R3C,,-0.0787138938903808,-0.0787138938903808,-0.0787138938903808,-0.0787138938903808,human,DOWN
EIF4A2,,-0.0781259685754776,-0.0781259685754776,-0.0781259685754776,-0.0781259685754776,human,DOWN
GPX8,-0.0776960775256156,,-0.0776960775256156,-0.0776960775256156,,human,DOWN
HNRNPA1P10,-0.0743531733751297,,-0.0743531733751297,-0.0743531733751297,,human,DOWN
RPL39,-0.0920867919921875,-0.0503791719675064,-0.0712329819798469,-0.0712329819798469,-0.0503791719675064,human,DOWN
AKR1C2,,-0.0710215121507644,-0.0710215121507644,-0.0710215121507644,-0.0710215121507644,human,DOWN
TMSB4XP8,-0.0637673735618591,-0.0761070996522903,-0.0699372366070747,-0.0699372366070747,-0.0761070996522903,human,DOWN
PABPC3,-0.0850228667259216,-0.054244726896286,-0.0696337968111038,-0.0696337968111038,-0.054244726896286,human,DOWN
FTH1,-0.083320714533329,-0.0558443032205104,-0.0695825088769197,-0.0695825088769197,-0.0558443032205104,human,DOWN
AKR1B10,-0.0691215097904205,,-0.0691215097904205,-0.0691215097904205,,human,DOWN
GJA1,-0.0984023809432983,-0.0380326583981514,-0.0682175196707248,-0.0682175196707248,-0.0380326583981514,human,DOWN
TXNRD1,,-0.0667300224304199,-0.0667300224304199,-0.0667300224304199,-0.0667300224304199,human,DOWN
RND3,-0.0515942871570587,-0.0791033655405044,-0.0653488263487815,-0.0653488263487815,-0.0791033655405044,human,DOWN
RPS18,-0.0667481869459152,-0.0636343359947204,-0.0651912614703178,-0.0651912614703178,-0.0636343359947204,human,DOWN
CTHRC1,-0.0644643008708953,,-0.0644643008708953,-0.0644643008708953,,human,DOWN
B2M,,-0.0640752017498016,-0.0640752017498016,-0.0640752017498016,-0.0640752017498016,human,DOWN
RPL12,-0.0717032551765441,-0.0542973764240741,-0.0630003158003091,-0.0630003158003091,-0.0542973764240741,human,DOWN
LOC100507328,-0.0629777088761329,,-0.0629777088761329,-0.0629777088761329,,human,DOWN
RPL32,-0.0769884064793586,-0.0487981922924518,-0.0628932993859052,-0.0628932993859052,-0.0487981922924518,human,DOWN
